Date Time,T (degC),rh (%)
01.01.2015 00:00:00,2.06,98.8
01.01.2015 00:10:00,2.15,98.9
01.01.2015 00:20:00,2.1,98.8
01.01.2015 00:30:00,2.08,98.8
01.01.2015 00:40:00,2.07,98.9
01.01.2015 00:50:00,2.22,99.1
01.01.2015 01:00:00,2.22,98.9
01.01.2015 01:10:00,2.15,98.9
01.01.2015 01:20:00,2.22,99
01.01.2015 01:30:00,2.17,98.8
01.01.2015 01:40:00,2.15,98.9
01.01.2015 01:50:00,2.13,98.9
01.01.2015 02:00:00,2.04,98.8
01.01.2015 02:10:00,1.96,98.8
01.01.2015 02:20:00,1.88,98.9
01.01.2015 02:30:00,1.89,98.9
01.01.2015 02:40:00,2.03,99
01.01.2015 02:50:00,1.95,98.8
01.01.2015 03:00:00,1.79,98.8
01.01.2015 03:10:00,1.79,98.9
01.01.2015 03:20:00,1.81,98.9
01.01.2015 03:30:00,1.8,98.9
01.01.2015 03:40:00,1.86,99
01.01.2015 03:50:00,1.97,99.1
01.01.2015 04:00:00,2.12,99.1
01.01.2015 04:10:00,2.19,99
01.01.2015 04:20:00,2.18,98.9
01.01.2015 04:30:00,2.2,98.8
01.01.2015 04:40:00,2.24,98.8
01.01.2015 04:50:00,2.5,99
01.01.2015 05:00:00,2.46,98.5
01.01.2015 05:10:00,2.32,98.1
01.01.2015 05:20:00,2.14,98.2
01.01.2015 05:30:00,2.31,98.4
01.01.2015 05:40:00,2.2,98
01.01.2015 05:50:00,2.01,97.7
01.01.2015 06:00:00,1.93,97.9
01.01.2015 06:10:00,2,98.1
01.01.2015 06:20:00,2.05,98
01.01.2015 06:30:00,1.92,97.9
01.01.2015 06:40:00,1.98,98.1
01.01.2015 06:50:00,1.85,97.7
01.01.2015 07:00:00,1.79,97.8
01.01.2015 07:10:00,1.62,97.8
01.01.2015 07:20:00,1.87,98.2
01.01.2015 07:30:00,1.7,97.5
01.01.2015 07:40:00,1.52,97.6
01.01.2015 07:50:00,1.52,97.8
01.01.2015 08:00:00,1.75,98
01.01.2015 08:10:00,1.78,97.9
01.01.2015 08:20:00,1.96,97.7
01.01.2015 08:30:00,1.54,96.8
01.01.2015 08:40:00,1.46,97.3
01.01.2015 08:50:00,1.55,97.4
01.01.2015 09:00:00,1.45,97.2
01.01.2015 09:10:00,1.44,97.5
01.01.2015 09:20:00,1.38,97.4
01.01.2015 09:30:00,1.44,97.8
01.01.2015 09:40:00,1.8,97.9
01.01.2015 09:50:00,1.54,97.1
01.01.2015 10:00:00,1.49,97.6
01.01.2015 10:10:00,1.52,97.4
01.01.2015 10:20:00,1.51,97.6
01.01.2015 10:30:00,1.49,97.8
01.01.2015 10:40:00,1.62,97.7
01.01.2015 10:50:00,1.94,97.9
01.01.2015 11:00:00,2.48,97.9
01.01.2015 11:10:00,3.31,97.6
01.01.2015 11:20:00,3.35,96.3
01.01.2015 11:30:00,3.63,95.3
01.01.2015 11:40:00,3.95,93.3
01.01.2015 11:50:00,4.33,90.4
01.01.2015 12:00:00,4.76,89
01.01.2015 12:10:00,5.38,86.1
01.01.2015 12:20:00,5.45,84.2
01.01.2015 12:30:00,5.69,81.9
01.01.2015 12:40:00,5.86,80.6
01.01.2015 12:50:00,6.14,79.3
01.01.2015 13:00:00,6.3,77.8
01.01.2015 13:10:00,6.52,76.8
01.01.2015 13:20:00,6.49,77
01.01.2015 13:30:00,6.47,76.7
01.01.2015 13:40:00,6.53,76.9
01.01.2015 13:50:00,6.41,77.3
01.01.2015 14:00:00,6.12,78.1
01.01.2015 14:10:00,5.78,79.7
01.01.2015 14:20:00,5.6,80.7
01.01.2015 14:30:00,5.42,81.3
01.01.2015 14:40:00,5.27,82
01.01.2015 14:50:00,5.37,81
01.01.2015 15:00:00,5.25,81.4
01.01.2015 15:10:00,4.94,82.8
01.01.2015 15:20:00,4.65,83.8
01.01.2015 15:30:00,4.36,84.8
01.01.2015 15:40:00,4.25,85
01.01.2015 15:50:00,4.22,84.7
01.01.2015 16:00:00,4,84.9
01.01.2015 16:10:00,3.75,85.6
01.01.2015 16:20:00,3.47,85.9
01.01.2015 16:30:00,3.14,87
01.01.2015 16:40:00,2.93,87.6
01.01.2015 16:50:00,2.9,87.6
01.01.2015 17:00:00,2.91,87.6
01.01.2015 17:10:00,2.96,87.3
01.01.2015 17:20:00,2.84,87.4
01.01.2015 17:30:00,2.62,87.9
01.01.2015 17:40:00,2.49,88.8
01.01.2015 17:50:00,2.45,88.8
01.01.2015 18:00:00,2.41,88.8
01.01.2015 18:10:00,2.28,89.7
01.01.2015 18:20:00,2.35,89.4
01.01.2015 18:30:00,2.4,89.3
01.01.2015 18:40:00,2.44,89.1
01.01.2015 18:50:00,2.53,88.8
01.01.2015 19:00:00,2.37,89.1
01.01.2015 19:10:00,2.41,89.4
01.01.2015 19:20:00,2.56,89.1
01.01.2015 19:30:00,2.64,88.3
01.01.2015 19:40:00,2.62,88.3
01.01.2015 19:50:00,2.51,88.7
01.01.2015 20:00:00,2.46,88.9
